,roll,pitch,yaw,roll,pitch,yaw,roll,pitch,yaw,roll,pitch,yaw,roll,pitch,yaw,roll,pitch,yaw
0,-1.5621691491487464,0.0035967411812557006,0.14331212029411466,-1.5090585847901268,-0.031403922206064486,0.05723338475042894,-1.686339053651229,-0.05542665232070052,-0.07401975023955062,-1.6042713566176836,-0.004053486996230431,0.06857933438810783,1.6138114245000088,0.036386288675762886,-0.03518745060176686,1.6198369017067986,-0.002101650084525516,0.012043128409500267
1,-3.1330203430767023,-0.027949471396954143,0.1269317395631412,-3.0469591307008046,0.004135700394177907,0.0774452349210461,-3.3175098435919237,-0.0779496988966348,-0.09490997146886516,-3.1888110800557175,0.02838943796844639,-0.30876772265197605,3.2750513193020527,0.004656942637314541,-0.12467894748206915,3.2890340029395357,-0.027726417204874274,-0.09664802589638154
2,-4.705848943701319,-0.12159191725551592,0.11011091307702149,-4.664397416472891,0.12751716752220627,0.06783660432730006,-5.00187546466932,-0.12542995227513795,-0.06152744991263076,-4.734963075985717,0.1685015769821532,-0.8772190232065743,4.916813394375572,0.010786782519535635,-0.14001617650378279,4.953558619016119,-0.0162983279851061,-0.15224557266543387
3,-6.265633422899011,-0.1972193065428522,0.11422791050092437,-6.17227168310996,0.20422082977069858,0.0678471448580555,-6.626645815554072,-0.14970490157354874,-0.16110227187287662,-6.322038404949683,0.21235517576585577,-1.0575451584279163,6.517778939421959,-0.04191482879385267,-0.03688963432653259,6.595331366014416,0.015918398666504994,-0.2849346654356519
4,-7.824794934330186,-0.2787195331915573,0.049382691259590855,-7.7438148631354125,0.3039962428992246,0.0285572644366911,-8.335780846012618,-0.19920300618390907,-0.0037746479567252293,-7.95907203610066,0.35054198181297525,-1.3945839626187027,8.168991467532548,-0.05450924282103004,-0.13515641075442322,8.263490730269973,0.029558935447796728,-0.38056362134739263
5,-9.381628670808931,-0.3686732706390442,0.02195971212999262,-9.224367504490589,0.38875321792290685,0.016283573141306507,-9.987708755394364,-0.24165549674149917,-0.09936496430049412,-9.522241542332328,0.42901886769253167,-1.6930549575319045,9.76477497230757,-0.06768724996841091,-0.025914404590671968,9.873269720716298,0.05470242005266038,-0.49130276834385955
6,-10.936319699433643,-0.4211416996729891,0.037943354842437625,-10.777989291033936,0.4409020200527051,-0.0036873013597451465,-11.594165804262056,-0.24290470006334927,-0.08912502020248345,-11.02840100323955,0.5604309301487936,-2.052872392354935,11.392871429323051,-0.12315204210392798,-0.009898447155127789,11.47747561426771,0.03993500695762427,-0.5961674143016308
7,-12.530512642451958,-0.4245711172894018,0.03663668605672094,-12.342267296037972,0.4603204209711121,-0.014055387473405205,-13.16945375915329,-0.2553490995866142,-0.055914132230277726,-12.455116778962843,0.8575122515590733,-2.6792651795727997,12.982260015316212,-0.11101076424017388,0.06783047505339841,13.048893693971596,0.03132887771871911,-0.709370886739737
8,-14.342289700605505,-0.406493819650993,-0.047425159942400485,-14.303320264017204,0.46381404640894436,-0.036619514319776454,-14.73412174521872,-0.2629879208011441,-0.08341097585720884,-13.972599936306485,0.9350192481246363,-2.701176255027845,14.594715272867665,-0.18434107156989682,0.0497168679562472,14.630559874601238,-0.015099507745058638,-0.6872070802870638
9,-16.059913081735793,-0.31458645818389686,-0.02718615288711241,-15.660480663058433,0.395753955401264,-0.05828532059191793,-16.276115467695625,-0.4369422312018452,-0.08359960706546411,-15.50169073540359,1.3342845136669133,-3.2858061603825273,16.21243139301255,-0.24922642338569567,-0.0011600963693124558,16.23846074169771,-0.1225977392475668,-0.8188020514102267
10,-17.522047866391148,-0.3038616902495659,-0.09614267041341068,-17.08728398709808,0.448829092078794,-0.1122207113662141,-18.035655683796662,-0.22446124021457345,-0.39542903377247557,-17.005345899808482,1.3040848050608282,-3.2376029777352855,17.782884586497705,-0.26528530125741145,0.08398934715119105,17.772343609798213,-0.05619318930776714,-0.8049943208897979
11,-19.014795536848307,-0.42253018580880924,-0.0695639322912845,-18.714106822541172,0.49935081874302184,-0.058969912712271665,-19.441155627095984,-0.23350125462267687,-0.15912438706048554,-18.438603880948424,1.5508517955487422,-3.7735703675237824,19.383052144798864,-0.24493302406968903,0.09130174521055079,19.340185483295144,-0.04411866226919407,-0.983294599330602
